% Model,VAM_UC_-_dispersivity_0-07m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:57"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
0,0.9999765964175877
1000,0.9999631500782968
2000,0.9999416810478549
3000,0.9999069562832339
4000,0.9998527426322176
5000,0.9997673602031311
6000,0.9996353927964967
7000,0.999434527149552
8000,0.9991410728441114
9000,0.9987090475011698
10000,0.9980747917348995
11000,0.9971753723582714
12000,0.9959098050736654
13000,0.9942015598664775
14000,0.9918903180616627
15000,0.988869096625667
16000,0.984943141904076
17000,0.9799620408913081
18000,0.9737455038097843
19000,0.9661225998055231
20000,0.9569772921409871
21000,0.946173658908966
22000,0.9336855296951693
23000,0.919470240871136
24000,0.9036560654501042
25000,0.8863861306124695
26000,0.8676852034844194
27000,0.8476235794254189
28000,0.8262974383837322
29000,0.8037937829000403
30000,0.7801800666188698
31000,0.7555562777835945
32000,0.7303916099052026
33000,0.7046558304893639
34000,0.678490548908235
35000,0.6520770326374625
36000,0.6255991857379506
37000,0.599190043504534
38000,0.573005677228739
39000,0.5470819757586126
40000,0.5216035237872438
41000,0.49670753542640994
42000,0.47244184901189934
43000,0.4487997812689707
44000,0.42594975007026115
45000,0.40398799596965784
46000,0.38284526245022665
47000,0.3625905647575297
48000,0.343259142797745
49000,0.32484924188226694
50000,0.307319938406111
51000,0.2906589448578729
52000,0.2748244769217524
53000,0.25984220117760587
54000,0.2456720245196727
55000,0.23225933356510514
56000,0.21956643430770068
57000,0.20759258293178645
58000,0.19627402446960765
59000,0.1855638085834363
60000,0.17546048172112189
61000,0.16593923550514736
62000,0.15695810446096042
63000,0.1484895702938577
64000,0.14052286019095764
65000,0.13302894961429276
66000,0.12598710934973925
67000,0.11937321095275515
68000,0.11316508791323994
69000,0.10734507558229632
70000,0.101894843861996
71000,0.0967971057756604
72000,0.09203561746786078
73000,0.0875951782044182
74000,0.08344751890553982
75000,0.07956946739331
76000,0.07595307648985745
77000,0.07258239911715082
78000,0.06944204053382418
79000,0.06651715833517696
80000,0.06379346245317412
81000,0.06125703610975426
82000,0.05889450726371355
83000,0.05669335282865273
84000,0.054641437811695476
85000,0.05272717492071773
86000,0.0509395245643477
87000,0.04926799485196584
88000,0.047706726229267866
89000,0.046253097643060986
90000,0.04489428451563668
91000,0.043623381487374636
92000,0.04243414251125287
93000,0.041320980852847654
94000,0.04027896909033357
95000,0.039302446450540054
96000,0.03838403600476493
97000,0.03752287026213799
98000,0.03671602851950291
99000,0.03596119860944399
100000,0.035256676900286214
101000,0.034601368296095274
102000,0.03398972782826792
103000,0.033398246579908725
104000,0.03284016630697983
105000,0.032313478820083924
106000,0.031816512999088414
107000,0.03134793479312539
108000,0.030906747220591644
109000,0.030490019708335987
110000,0.030075357288252773
111000,0.029674091374777525
112000,0.029283850273284687
113000,0.02890237694105273
114000,0.02852752898726411
115000,0.02815727867300535
116000,0.027789908361287342
117000,0.02743370974119681
118000,0.02708195395090544
119000,0.026734178900450607
