Sphere	Avg. K	Avg. porosity	Avg. Vsolid	Avg. Vfluid	x	y	z
#	(cm/min)	(-)	(cm3)	(cm3)	(cm)	(cm)	(cm)
1	5.80E-003	0.29	41.62	17.05	22.50	37.50	7.50
2	1.06E-002	0.32	40.97	19.28	32.50	67.50	17.50
3	9.10E-003	0.34	40.72	20.78	27.50	77.50	17.50
4	8.70E-003	0.31	42.60	18.86	12.50	12.50	7.50
5	5.70E-003	0.31	42.49	18.84	37.50	22.50	2.50
6	5.80E-003	0.31	42.57	19.48	42.50	62.50	7.50
7	1.67E-002	0.35	41.54	21.99	22.50	77.50	2.50
8	6.80E-003	0.33	41.13	19.80	37.50	92.50	2.50
9	6.70E-003	0.31	41.69	18.93	17.50	7.50	7.50
10	5.50E-003	0.31	40.90	18.46	37.50	37.50	17.50
11	2.64E-002	0.32	41.25	19.40	7.50	47.50	7.50
12	8.30E-003	0.32	41.49	19.28	32.50	92.50	17.50
13	9.40E-003	0.34	41.23	20.82	17.50	92.50	12.50
14	6.80E-003	0.29	41.92	16.91	42.50	72.50	7.50
15	1.56E-002	0.28	42.54	16.23	2.50	87.50	7.50
16	5.80E-003	0.28	41.04	16.11	22.50	27.50	12.50
17	9.50E-003	0.30	41.44	17.85	37.50	82.50	2.50
18	4.40E-003	0.28	41.23	16.20	17.50	52.50	12.50
19	4.50E-003	0.29	41.04	16.40	47.50	52.50	12.50
20	6.50E-003	0.23	40.97	12.06	12.50	42.50	2.50
21	1.22E-002	0.21	40.67	10.81	2.50	32.50	12.50
22	5.50E-003	0.30	41.61	17.68	22.50	72.50	7.50
23	7.00E-003	0.27	42.13	15.95	32.50	32.50	17.50
24	2.00E-003	0.22	41.03	11.38	22.50	87.50	12.50
25	1.90E-003	0.22	41.84	11.85	17.50	17.50	12.50
26	6.70E-003	0.28	40.87	15.55	32.50	82.50	17.50
27	6.70E-003	0.31	42.61	19.50	2.50	47.50	17.50
28	1.00E-002	0.26	41.28	14.42	2.50	57.50	17.50
29	3.00E-003	0.22	41.00	11.26	22.50	62.50	7.50
30	9.90E-003	0.28	41.97	16.32	2.50	77.50	7.50
31	5.70E-003	0.28	41.46	16.27	27.50	47.50	7.50
32	1.94E-002	0.30	40.79	17.52	12.50	32.50	2.50
33	1.58E-002	0.32	41.01	19.18	7.50	12.50	2.50
34	1.30E-002	0.29	42.25	17.29	47.50	22.50	2.50
36	1.64E-002	0.26	41.04	14.75	7.50	72.50	17.50
37	4.10E-003	0.21	40.75	10.85	12.50	87.50	12.50
38	2.14E-002	0.18	41.24	9.15	22.50	47.50	2.50
39	4.40E-003	0.27	40.92	15.29	2.50	27.50	17.50
40	1.21E-002	0.20	40.72	10.33	37.50	72.50	12.50
41	1.19E-002	0.35	40.95	21.70	2.50	67.50	7.50
42	2.42E-002	0.35	40.80	22.04	7.50	27.50	2.50
43	1.10E-002	0.34	40.97	20.89	17.50	32.50	7.50
44	7.80E-003	0.33	41.96	20.79	17.50	67.50	7.50
45	1.89E-002	0.36	40.65	22.99	2.50	27.50	7.50
46	1.15E-002	0.34	41.66	21.35	17.50	62.50	17.50
47	1.01E-002	0.34	40.83	21.13	22.50	92.50	7.50
48	5.70E-003	0.30	41.43	18.12	2.50	42.50	12.50
49	6.80E-003	0.31	41.05	18.31	2.50	12.50	12.50
50	2.12E-002	0.35	40.93	22.29	17.50	37.50	12.50
51	1.44E-002	0.36	40.98	23.26	42.50	7.50	17.50
52	1.57E-002	0.36	41.14	23.33	12.50	67.50	17.50
53	9.70E-003	0.32	41.19	19.69	12.50	22.50	2.50
54	1.12E-002	0.34	41.24	21.48	37.50	62.50	12.50
55	8.70E-003	0.33	40.87	20.12	2.50	22.50	2.50
56	9.40E-003	0.34	42.56	21.51	32.50	52.50	7.50
57	8.80E-003	0.28	41.47	16.32	22.50	57.50	2.50
58	1.07E-002	0.34	40.98	21.10	7.50	62.50	12.50
59	7.50E-003	0.33	41.22	20.00	17.50	87.50	7.50
60	1.67E-002	0.33	41.29	19.89	7.50	17.50	17.50
61	1.59E-002	0.35	41.77	22.10	7.50	32.50	17.50
62	6.20E-003	0.31	42.62	18.73	12.50	37.50	7.50
63	6.40E-003	0.31	41.42	18.81	27.50	82.50	7.50
64	2.20E-002	0.32	41.35	19.46	2.50	67.50	17.50
65	9.80E-003	0.33	41.45	20.37	27.50	17.50	17.50
66	2.06E-002	0.32	41.18	19.69	47.50	87.50	7.50
67	9.10E-003	0.34	40.85	21.16	27.50	57.50	17.50
68	5.10E-003	0.26	41.64	14.95	47.50	72.50	12.50
69	1.33E-002	0.33	41.23	20.41	47.50	82.50	12.50
70	1.06E-002	0.32	42.37	20.12	12.50	47.50	12.50
71	8.70E-003	0.33	40.64	20.18	37.50	12.50	12.50
72	8.00E-003	0.33	40.86	20.03	2.50	32.50	2.50
73	1.03E-002	0.30	41.83	17.96	17.50	52.50	2.50
74	1.23E-002	0.31	40.93	18.06	12.50	37.50	17.50
75	8.70E-003	0.32	41.32	19.86	7.50	82.50	17.50
76	7.10E-003	0.30	41.07	17.86	17.50	37.50	2.50
77	1.16E-002	0.33	41.05	20.50	42.50	42.50	7.50
78	1.20E-002	0.30	40.56	17.20	42.50	92.50	17.50
79	9.20E-003	0.28	42.19	16.57	27.50	72.50	12.50
80	8.10E-003	0.31	40.58	18.46	37.50	82.50	12.50
81	1.01E-002	0.30	40.65	17.35	42.50	82.50	7.50
82	7.70E-003	0.31	41.21	18.78	7.50	82.50	2.50
83	1.16E-002	0.32	40.99	19.37	17.50	12.50	2.50
84	1.58E-002	0.32	41.51	19.72	27.50	62.50	2.50
85	2.47E-002	0.32	41.40	19.16	12.50	27.50	17.50
86	9.80E-003	0.35	41.32	22.38	17.50	47.50	17.50
87	9.10E-003	0.33	40.78	20.26	17.50	82.50	12.50
88	1.58E-002	0.36	40.98	22.58	12.50	77.50	2.50
89	1.85E-002	0.35	40.80	21.90	32.50	22.50	7.50
90	2.05E-002	0.37	40.92	24.02	12.50	52.50	17.50
91	9.20E-003	0.32	41.17	19.24	7.50	57.50	2.50
92	1.11E-002	0.35	40.81	22.22	2.50	87.50	17.50
93	1.03E-002	0.33	41.21	20.23	12.50	62.50	2.50
94	9.60E-003	0.35	41.51	22.56	47.50	12.50	7.50
95	2.29E-002	0.32	41.74	19.92	37.50	32.50	12.50
96	8.50E-003	0.34	41.09	20.78	27.50	27.50	7.50
97	1.48E-002	0.34	41.02	20.83	27.50	92.50	12.50
